instrument,contracts,direction,entry_ts_et,exit_ts_et,hold_minutes,entry_price,exit_price,entry_trigger,exit_reason,pnl_ticks,pnl_usd
MGC,5,long,2025-02-21 12:08:00,2025-02-21 16:55:00,287.0,2952.4,2950.1,2952.4,close_all_flatten,-23.00000000000182,-115.0000000000091
MNQ,4,short,2025-02-24 11:00:00,2025-02-24 11:05:00,5.0,21604.5,21502.25,21604.5,profit_target,409.0,818.0
YM,1,short,2025-02-24 11:00:00,2025-02-24 11:05:00,5.0,43660.0,43554.0,43660.0,profit_target,106.0,530.0
YM,1,short,2025-02-24 11:25:00,2025-02-24 11:30:00,5.0,43660.0,43685.0,43660.0,stop_loss,-25.0,-125.0
MNQ,4,short,2025-02-24 11:25:00,2025-02-24 11:45:00,20.0,21604.5,21624.5,21604.5,stop_loss,-80.0,-160.0
MNQ,4,short,2025-02-24 11:00:00,2025-02-24 16:55:00,355.0,21604.5,21422.25,21604.5,close_all_flatten,729.0,1458.0
YM,1,short,2025-02-24 11:00:00,2025-02-24 16:55:00,355.0,43660.0,43572.0,43660.0,close_all_flatten,88.0,440.0
MNQ,4,short,2025-02-24 11:25:00,2025-02-24 16:55:00,330.0,21604.5,21422.25,21604.5,close_all_flatten,729.0,1458.0
YM,1,short,2025-02-24 11:25:00,2025-02-24 16:55:00,330.0,43660.0,43572.0,43660.0,close_all_flatten,88.0,440.0
MNQ,4,short,2025-02-25 11:00:00,2025-02-25 11:05:00,5.0,21210.25,21061.75,21210.25,profit_target,594.0,1188.0
YM,1,short,2025-02-25 11:00:00,2025-02-25 11:10:00,10.0,43556.0,43511.0,43556.0,stop_loss,45.0,225.0
YM,1,short,2025-02-25 11:50:00,2025-02-25 11:55:00,5.0,43556.0,43581.0,43556.0,stop_loss,-25.0,-125.0
MGC,5,short,2025-02-25 12:00:00,2025-02-25 12:08:00,8.0,2949.8,2906.5,2949.8,profit_target,433.0000000000018,2165.000000000009
MNQ,4,short,2025-02-25 11:00:00,2025-02-25 16:55:00,355.0,21210.25,21193.5,21210.25,close_all_flatten,67.0,134.0
